Beam	Node	X	Y	Z
Beam_335	21796	0.0018973	0.037808	0.028924
Beam_335	24603	0.01425	0.042803	0.030136
Beam_335	21843	0.011422	0.039308	0.030189
Beam_335	21821	0.011877	0.038179	0.030005
Beam_335	21794	0.0056949	0.038804	0.029096
Beam_335	21800	0.0037977	0.0403	0.029325
Beam_335	21844	0.017107	0.03782	0.029942
Beam_227	24658	0.0095	0.028803	0.027198
Beam_227	19203	0.0037966	0.024306	0.025048
Beam_227	19229	0.01188	0.024178	0.026074
Beam_227	19212	0.0047486	0.023556	0.024742
Beam_227	24657	0.01425	0.028803	0.027198
Beam_227	19230	0.0095	0.024803	0.026318
Beam_227	19210	0.0095	0.024803	0.025245
Beam_227	19218	0.01188	0.024178	0.024996
Beam_227	19232	0.0047486	0.023556	0.025823
Beam_227	19194	0.0047582	0.027051	0.026082
Beam_227	19189	0.01521	0.026302	0.025813
Beam_227	19209	0.0056993	0.025801	0.025627
Beam_227	19236	0.0056993	0.025801	0.026694
Beam_227	19188	0.013313	0.025804	0.025629
Beam_227	24655	0.019	0.028803	0.027198
Beam_227	19248	0.013313	0.025804	0.026695
Beam_227	19234	0.0019017	0.026797	0.027053
Beam_227	19185	0.015212	0.024316	0.025052
Beam_227	19207	0.0019017	0.026797	0.025992
Beam_227	19253	0.015212	0.024316	0.026128
Beam_227	19211	0.0071196	0.024178	0.024996
Beam_227	19231	0.0071196	0.024178	0.026074
Beam_227	19238	0.0056929	0.024804	0.026318
Beam_227	19202	0.0056928	0.024804	0.025245
Beam_227	19233	0.0023693	0.022932	0.025565
Beam_227	19213	0.0023693	0.022932	0.024479
Beam_227	19245	0.0071403	0.026428	0.026922
Beam_227	19193	0.0071403	0.026428	0.025859
Beam_227	19247	0.0023829	0.027673	0.027354
Beam_227	19243	0.011881	0.026428	0.026922
Beam_227	24659	0.00475	0.028803	0.027198
Beam_227	19249	0.01521	0.026302	0.026877
Beam_227	19204	0.0018952	0.023807	0.024845
Beam_227	19241	0.016624	0.027673	0.027354
Beam_227	19200	0.011881	0.026428	0.025859
Beam_227	19184	0.017109	0.023819	0.02485
Beam_227	19252	0.017109	0.023819	0.02593
Beam_227	19246	0.0047581	0.027051	0.027142
Beam_227	19186	0.01332	0.024811	0.025248
Beam_227	19237	0.0075949	0.025303	0.026509
Beam_227	19201	0.0075949	0.025303	0.025439
Beam_227	19254	0.01332	0.024811	0.026321
Beam_227	19240	0.0018953	0.023807	0.025925
Beam_227	19195	0.002383	0.027673	0.026298
Beam_227	19198	0.016624	0.027673	0.026298
Beam_227	19199	0.014256	0.027051	0.026082
Beam_227	19239	0.0037966	0.024306	0.026124
Beam_227	19250	0.017103	0.026798	0.027053
Beam_227	19216	0.016631	0.022932	0.024479
Beam_227	19242	0.014256	0.027051	0.027142
Beam_227	19190	0.017103	0.026798	0.025992
Beam_227	19228	0.014251	0.023556	0.025823
Beam_227	19192	0.0095141	0.025807	0.02563
Beam_227	19217	0.014251	0.023556	0.024742
Beam_227	19251	0.011422	0.025308	0.02651
Beam_227	19187	0.011422	0.025308	0.025441
Beam_227	19208	0.0037982	0.0263	0.025812
Beam_227	19227	0.016631	0.022932	0.025565
Beam_227	24656	0.0	0.028803	0.027198
Beam_227	19235	0.0037982	0.0263	0.026876
Beam_227	19244	0.0095141	0.025807	0.026696
Beam_389	23105	0.01425	0.044556	0.029795
Beam_389	23132	0.0095141	0.046807	0.030937
Beam_389	23072	0.017106	0.04482	0.029816
Beam_389	23142	0.013317	0.045812	0.030885
Beam_389	23074	0.013317	0.045812	0.029883
Beam_389	23104	0.016627	0.043933	0.029743
Beam_389	23080	0.0095141	0.046807	0.029936
Beam_389	23095	0.0018997	0.047798	0.029975
Beam_389	23098	0.0095	0.045803	0.029882
Beam_389	23073	0.015211	0.045316	0.029851
Beam_389	23115	0.016627	0.043933	0.030747
Beam_389	23135	0.002379	0.048674	0.030998
Beam_389	23100	0.0047498	0.044556	0.029795
Beam_389	23091	0.0037973	0.045306	0.02985
Beam_389	23096	0.0037975	0.0473	0.029957
Beam_389	23077	0.015211	0.047302	0.029957
Beam_389	23120	0.0047498	0.044556	0.030798
Beam_389	23090	0.0056957	0.045805	0.029883
Beam_389	23126	0.0056957	0.045805	0.030884
Beam_389	23122	0.0018997	0.047798	0.030976
Beam_389	23136	0.013315	0.046804	0.030937
Beam_389	23076	0.013315	0.046804	0.029936
Beam_389	23081	0.0071364	0.047429	0.029962
Beam_389	23133	0.0071364	0.047429	0.030963
Beam_389	24556	0.019	0.049803	0.030509
Beam_389	23116	0.01425	0.044556	0.030798
Beam_389	23139	0.011422	0.046308	0.030913
Beam_389	23127	0.0037973	0.045306	0.030853
Beam_389	23123	0.0037975	0.0473	0.030958
Beam_389	23078	0.017105	0.047799	0.029975
Beam_389	23082	0.0047571	0.048052	0.029983
Beam_389	23130	0.014257	0.048052	0.030983
Beam_389	23101	0.0023731	0.043933	0.029743
Beam_389	23137	0.015211	0.047302	0.030958
Beam_389	23075	0.011422	0.046308	0.029911
Beam_389	23097	0.0056973	0.046801	0.029936
Beam_389	23087	0.014257	0.048052	0.029983
Beam_389	23124	0.0056973	0.046801	0.030937
Beam_389	23129	0.016628	0.048674	0.030998
Beam_389	23106	0.011877	0.045179	0.029842
Beam_389	23141	0.015211	0.045316	0.030853
Beam_389	23086	0.016628	0.048674	0.029997
Beam_389	23121	0.0023731	0.043933	0.030747
Beam_389	23117	0.011877	0.045179	0.030844
Beam_389	24560	0.00475	0.049803	0.030509
Beam_389	23125	0.0075949	0.046303	0.030913
Beam_389	23134	0.0047571	0.048052	0.030983
Beam_389	23089	0.0075949	0.046303	0.029911
Beam_389	23083	0.002379	0.048674	0.029997
Beam_389	24557	0.0	0.049803	0.030509
Beam_389	23140	0.017106	0.04482	0.030818
Beam_389	23088	0.011885	0.047429	0.029962
Beam_389	24559	0.0095	0.049803	0.030509
Beam_389	23138	0.017105	0.047799	0.030976
Beam_389	23118	0.0095	0.045803	0.030884
Beam_389	23131	0.011885	0.047429	0.030963
Beam_389	24558	0.01425	0.049803	0.030509
Beam_389	23099	0.0071234	0.045179	0.029842
Beam_389	23092	0.0018981	0.044808	0.029815
Beam_389	23119	0.0071235	0.045179	0.030844
Beam_389	23128	0.0018981	0.044808	0.030817
Beam_281	20524	0.014251	0.030556	0.028256
Beam_281	20513	0.014251	0.030556	0.027214
Beam_281	20499	0.0037969	0.031306	0.02743
Beam_281	20548	0.017108	0.03082	0.028331
Beam_281	20496	0.011882	0.033428	0.027991
Beam_281	20538	0.014256	0.034051	0.029169
Beam_281	20547	0.011422	0.032308	0.028737
Beam_281	24620	0.0	0.035803	0.029044
Beam_281	24621	0.01425	0.035803	0.029044
Beam_281	20535	0.0037969	0.031306	0.028468
Beam_281	20545	0.015211	0.033302	0.028989
Beam_281	20533	0.0075949	0.032303	0.028736
Beam_281	20490	0.0047578	0.034051	0.028142
Beam_281	20485	0.015211	0.033302	0.027959
Beam_281	20531	0.0037979	0.0333	0.028989
Beam_281	20497	0.0075949	0.032303	0.027702
Beam_281	20536	0.0018964	0.030808	0.028328
Beam_281	20529	0.0023712	0.029932	0.028072
Beam_281	20505	0.0056982	0.032801	0.027832
Beam_281	20500	0.0018964	0.030808	0.027287
Beam_281	24623	0.00475	0.035803	0.029044
Beam_281	20482	0.013319	0.031811	0.02757
Beam_281	20509	0.0023711	0.029932	0.027027
Beam_281	20541	0.0071386	0.033428	0.02902
Beam_281	20489	0.0071386	0.033428	0.027991
Beam_281	20550	0.013319	0.031811	0.028606
Beam_281	20539	0.011882	0.033428	0.02902
Beam_281	20486	0.017104	0.033799	0.028081
Beam_281	20488	0.0095141	0.032807	0.027834
Beam_281	20504	0.0037979	0.0333	0.027959
Beam_281	20480	0.017108	0.03082	0.027291
Beam_281	20495	0.014256	0.034051	0.028142
Beam_281	20532	0.0056982	0.032801	0.028864
Beam_281	20542	0.0047577	0.034051	0.029169
Beam_281	20526	0.0095	0.031803	0.028604
