Node	X	Y	Z
15584	0.0056861	0.2038	0.013601
15585	0.0037936	0.20331	0.01316
15586	0.0018882	0.20281	0.012708
15587	-7.8139e-18	0.20231	0.012251
15588	0.017412	0.20688	0.016152
15589	0.015834	0.20647	0.015826
15590	0.014248	0.20605	0.015493
15591	0.012672	0.20564	0.015156
15592	0.011088	0.20522	0.014813
15593	0.019	0.2073	0.016476
15594	0.0095141	0.20481	0.014466
15595	0.0079357	0.20522	0.014813
15596	0.0063467	0.20564	0.015156
15597	0.0047664	0.20605	0.015493
15598	0.0031753	0.20647	0.015826
15599	0.0015925	0.20688	0.016152
15600	0.0	0.2073	0.016476
15601	0.017426	0.20172	0.011699
15602	0.015839	0.20214	0.012092
15603	0.014262	0.20255	0.012477
15604	0.012672	0.20297	0.012858
15605	0.011092	0.20339	0.013232
15606	0.019	0.20131	0.011302
15607	0.0095	0.2038	0.013602
15608	0.0079081	0.20339	0.013232
15609	0.0063281	0.20297	0.012858
15610	0.0047381	0.20255	0.012477
15611	0.0031613	0.20214	0.012092
15612	0.0015742	0.20172	0.011699
15613	0.0	0.20131	0.011302
15614	0.013307	0.2048	0.014463
15615	0.015208	0.2053	0.014881
15616	0.017097	0.2058	0.015288
15617	0.019	0.2063	0.015691
15618	0.011422	0.20431	0.01404
15619	0.017116	0.20282	0.012719
15620	0.015215	0.20332	0.013169
15621	0.013326	0.20381	0.013607
15622	0.019	0.20232	0.012265
15623	0.031422	0.20431	0.012713
15624	0.033307	0.2048	0.013146
15625	0.035208	0.2053	0.013575
15626	0.037096	0.2058	0.013992
15627	0.039	0.2063	0.014405
15628	0.029514	0.20481	0.01315
15629	0.027936	0.20522	0.013505
15630	0.026347	0.20564	0.013857
15631	0.024766	0.20605	0.014202
15632	0.023176	0.20647	0.014543
15633	0.021593	0.20688	0.014877
15634	0.02	0.2073	0.015208
15635	0.039	0.2073	0.015208
15636	0.037412	0.20688	0.014877
15637	0.035834	0.20647	0.014543
15638	0.034248	0.20605	0.014202
15639	0.032672	0.20564	0.013857
15640	0.031088	0.20522	0.013505
15641	0.02	0.2063	0.014405
15642	0.021908	0.2058	0.013991
15643	0.023801	0.2053	0.013573
15644	0.025706	0.2048	0.013143
15645	0.027595	0.2043	0.012709
15646	0.025686	0.2038	0.012262
15647	0.023794	0.20331	0.01181
15648	0.021888	0.20281	0.011346
15649	0.02	0.20231	0.010876
15650	0.02	0.20131	0.0099005
15651	0.039	0.20131	0.0099005
15652	0.039	0.20232	0.010891
15653	0.0295	0.2038	0.012263
15654	0.027908	0.20339	0.011883
15655	0.026328	0.20297	0.0115
15656	0.024738	0.20255	0.011108
15657	0.023161	0.20214	0.010713
15658	0.021574	0.20172	0.010308
15659	0.037116	0.20282	0.011357
15660	0.035215	0.20332	0.011819
15661	0.033327	0.20381	0.012268
15662	0.037426	0.20172	0.010308
15663	0.035839	0.20214	0.010713
15664	0.034262	0.20255	0.011108
15665	0.032672	0.20297	0.0115
15666	0.031092	0.20339	0.011883
15667	0.037426	0.20172	0.011699
15668	0.035839	0.20214	0.012092
15669	0.034262	0.20255	0.012477
15670	0.032672	0.20297	0.012858
15671	0.031092	0.20339	0.013232
15672	0.039	0.20131	0.011302
15673	0.0295	0.2038	0.013602
15674	0.037116	0.20282	0.012719
15675	0.035215	0.20332	0.013169
15676	0.033326	0.20381	0.013607
15677	0.031422	0.20431	0.01404
15678	0.039	0.20232	0.012265
15679	0.027908	0.20339	0.013232
15680	0.026328	0.20297	0.012858
15681	0.024738	0.20255	0.012477
15682	0.023161	0.20214	0.012092
15683	0.021574	0.20172	0.011699
15684	0.02	0.20131	0.011302
15685	0.039	0.2063	0.015691
15686	0.039	0.2073	0.016476
15687	0.02	0.2073	0.016476
15688	0.02	0.2063	0.015691
15689	0.02	0.20231	0.012251
15690	0.025686	0.2038	0.013601
15691	0.023794	0.20331	0.01316
15692	0.021888	0.20281	0.012708
15693	0.027595	0.2043	0.014037
15694	0.021908	0.2058	0.015287
15695	0.0238	0.2053	0.014879
15696	0.025705	0.2048	0.01446
15697	0.037412	0.20688	0.016152
15698	0.035834	0.20647	0.015826
