BodyID	Node	X	Y	Z
-340417.0	24480			
-340417.0	24479	0.02475	0.070803	0.027323
-340417.0	24481			
-340415.0	24486	0.05425	0.070803	0.027323
-340415.0	24492			
-340415.0	24485	0.04	0.070803	0.027323
-340415.0	24490			
-340415.0	24491			
-340415.0	24484	0.059	0.070803	0.027323
-340415.0	24487	0.0495	0.070803	0.027323
-340415.0	24488	0.04475	0.070803	0.027323
-340415.0	24489			
-340413.0	24494	0.04	0.063803	0.029125
-340413.0	24493	0.059	0.063803	0.029125
-340413.0	24496	0.0495	0.063803	0.029125
-340413.0	24497	0.04475	0.063803	0.029125
-340413.0	24495	0.05425	0.063803	0.029125
-340413.0	24499			
-340413.0	24498			
-340413.0	24501			
-340413.0	24500			
-340411.0	24503	0.02	0.063803	0.029125
-340411.0	24502	0.039	0.063803	0.029125
-340411.0	24505	0.0295	0.063803	0.029125
-340411.0	24504	0.03425	0.063803	0.029125
-340411.0	24506	0.02475	0.063803	0.029125
-340411.0	24507			
-340411.0	24508			
-340411.0	24509			
-340411.0	24510			
-340409.0	24519			
-340409.0	24512	0.0	0.063803	0.029125
-340409.0	24511	0.019	0.063803	0.029125
-340409.0	24514	0.0095	0.063803	0.029125
-340409.0	24515	0.00475	0.063803	0.029125
-340409.0	24516			
-340409.0	24517			
-340409.0	24518			
-340409.0	24513	0.01425	0.063803	0.029125
-340407.0	24520	0.019	0.070803	0.027323
-340407.0	24521	0.0	0.070803	0.027323
-340407.0	24522	0.01425	0.070803	0.027323
-340407.0	24523	0.0095	0.070803	0.027323
-340407.0	24524	0.00475	0.070803	0.027323
-340407.0	24525			
-340407.0	24526			
-340407.0	24527			
-340407.0	24528			
-340405.0	24534			
-340405.0	24531	0.05425	0.056803	0.030176
-340405.0	24530	0.04	0.056803	0.030176
-340405.0	24537			
-340405.0	24535			
-340405.0	24529	0.059	0.056803	0.030176
-340405.0	24536			
-340405.0	24533	0.04475	0.056803	0.030176
-340405.0	24532	0.0495	0.056803	0.030176
-340403.0	24538	0.039	0.056803	0.030176
-340403.0	24545			
