Beam	Node	X	Y	Z	track	arch	original
Beam_3_1_13	18735	0.055212	0.082302	0.023111	3	1	206
Beam_3_1_13	18744	0.047128	0.082431	0.023044	3	1	206
Beam_3_1_13	18684	0.047128	0.082431	0.021914	3	1	206
Beam_3_1_13	18750	0.051893	0.082431	0.023044	3	1	206
Beam_3_1_13	18682	0.051893	0.082431	0.021914	3	1	206
Beam_3_1_13	18689	0.041894	0.082799	0.021716	3	1	206
Beam_3_1_13	18741	0.041894	0.082799	0.02285	3	1	206
Beam_3_1_13	18736	0.05711	0.0828	0.02285	3	1	206
Beam_3_1_13	18700	0.05711	0.0828	0.021715	3	1	206
Beam_3_1_13	18685	0.044755	0.083052	0.021579	3	1	206
Beam_3_1_13	18745	0.044755	0.083052	0.022716	3	1	206
Beam_3_1_13	18749	0.054259	0.083052	0.022716	3	1	206
Beam_3_1_13	18681	0.054259	0.083052	0.021579	3	1	206
Beam_3_1_13	18746	0.042371	0.083676	0.022377	3	1	206
Beam_3_1_13	18686	0.042371	0.083676	0.021234	3	1	206
Beam_3_1_13	18748	0.056636	0.083676	0.022377	3	1	206
Beam_3_1_13	18680	0.056636	0.083676	0.021234	3	1	206
Beam_3_1_13	24386	0.04	0.084804	0.021166	3	1	206
Beam_3_1_13	24389	0.04475	0.084804	0.021166	3	1	206
Beam_3_1_13	24388	0.0495	0.084804	0.021166	3	1	206
Beam_3_1_13	24387	0.05425	0.084804	0.021166	3	1	206
Beam_3_1_13	24385	0.059	0.084804	0.021166	3	1	206
Beam_3_1_14	17408	0.042384	0.085935	0.019914	3	1	152
Beam_3_1_14	17436	0.042384	0.085935	0.021082	3	1	152
Beam_3_1_14	17402	0.056616	0.085935	0.019914	3	1	152
Beam_3_1_14	17438	0.056616	0.085935	0.021082	3	1	152
Beam_3_1_14	17407	0.044753	0.086557	0.01953	3	1	152
Beam_3_1_14	17435	0.044753	0.086557	0.020706	3	1	152
Beam_3_1_14	17439	0.054247	0.086557	0.020706	3	1	152
Beam_3_1_14	17403	0.054247	0.086557	0.01953	3	1	152
Beam_3_1_14	17450	0.041905	0.08681	0.020551	3	1	152
Beam_3_1_14	17390	0.041905	0.08681	0.019372	3	1	152
Beam_3_1_14	17416	0.0571	0.086822	0.019364	3	1	152
Beam_3_1_14	17427	0.0571	0.086822	0.020543	3	1	152
Beam_3_1_14	17434	0.047134	0.087182	0.020319	3	1	152
Beam_3_1_14	17406	0.047135	0.087182	0.019135	3	1	152
Beam_3_1_14	17404	0.051865	0.087182	0.019135	3	1	152
Beam_3_1_14	17440	0.051866	0.087182	0.020319	3	1	152
Beam_3_1_14	17389	0.043799	0.087307	0.019055	3	1	152
Beam_3_1_14	17449	0.043799	0.087307	0.02024	3	1	152
Beam_3_1_14	17428	0.055209	0.087316	0.020234	3	1	152
Beam_3_1_14	17417	0.055209	0.087317	0.019049	3	1	152
Beam_3_1_14	17405	0.0495	0.087803	0.018733	3	1	152
Beam_3_1_14	17437	0.0495	0.087803	0.019925	3	1	152
Beam_3_1_14	17388	0.045702	0.087806	0.018731	3	1	152
Beam_3_1_14	17448	0.045702	0.087806	0.019923	3	1	152
Beam_3_1_14	17429	0.05331	0.087813	0.019918	3	1	152
Beam_3_1_14	17418	0.05331	0.087813	0.018726	3	1	152
Beam_3_1_14	17387	0.047595	0.088303	0.018402	3	1	152
Beam_3_1_14	17451	0.047595	0.088303	0.019601	3	1	152
Beam_3_1_14	17430	0.051422	0.088308	0.019598	3	1	152
Beam_3_1_14	17410	0.051422	0.088308	0.0184	3	1	152
Beam_3_1_14	17386	0.045689	0.088803	0.018066	3	1	152
Beam_3_1_14	17454	0.04569	0.088803	0.019271	3	1	152
Beam_3_1_14	17431	0.053323	0.088806	0.019269	3	1	152
Beam_3_1_14	17411	0.053323	0.088806	0.018063	3	1	152
Beam_3_1_14	17396	0.049514	0.088807	0.018063	3	1	152
Beam_3_1_14	17444	0.049514	0.088807	0.019269	3	1	152
Beam_3_1_14	17385	0.043795	0.0893	0.017724	3	1	152
Beam_3_1_14	17453	0.043795	0.0893	0.018937	3	1	152
Beam_3_1_14	17432	0.055213	0.089302	0.018935	3	1	152
Beam_3_1_14	17412	0.055213	0.089303	0.017723	3	1	152
Beam_3_1_14	17397	0.047125	0.089432	0.017633	3	1	152
Beam_3_1_14	17441	0.047125	0.089432	0.018847	3	1	152
Beam_3_1_14	17447	0.051896	0.089432	0.018847	3	1	152
Beam_3_1_14	17395	0.051896	0.089432	0.017633	3	1	152
Beam_3_1_14	17384	0.041892	0.0898	0.017375	3	1	152
Beam_3_1_14	17452	0.041892	0.0898	0.018595	3	1	152
Beam_3_1_14	17413	0.057112	0.089801	0.017374	3	1	152
Beam_3_1_14	17433	0.057112	0.089801	0.018594	3	1	152
Beam_3_1_14	17442	0.044754	0.090052	0.018419	3	1	152
Beam_3_1_14	17446	0.05426	0.090052	0.018419	3	1	152
Beam_3_1_14	17398	0.044754	0.090053	0.017196	3	1	152
Beam_3_1_14	17394	0.054261	0.090053	0.017196	3	1	152
Beam_3_1_14	17399	0.042367	0.090677	0.016745	3	1	152
Beam_3_1_14	17443	0.042367	0.090677	0.017978	3	1	152
Beam_3_1_14	17393	0.05664	0.090677	0.016745	3	1	152
Beam_3_1_14	17445	0.05664	0.090677	0.017978	3	1	152
Beam_3_1_14	24368	0.04	0.091804	0.016529	3	1	152
Beam_3_1_14	24371	0.04475	0.091804	0.016529	3	1	152
Beam_3_1_14	24370	0.0495	0.091804	0.016529	3	1	152
Beam_3_1_14	24369	0.05425	0.091804	0.016529	3	1	152
Beam_3_1_14	24367	0.059	0.091804	0.016529	3	1	152
Beam_3_1_15	16017	0.04159	0.092727	0.015189	3	1	98
Beam_3_1_15	16031	0.04159	0.092727	0.016457	3	1	98
Beam_3_1_15	16007	0.05741	0.092727	0.015189	3	1	98
Beam_3_1_15	16033	0.05741	0.092727	0.016457	3	1	98
Beam_3_1_15	16030	0.04317	0.093142	0.016135	3	1	98
Beam_3_1_15	16016	0.043171	0.093142	0.01486	3	1	98
Beam_3_1_15	16008	0.055829	0.093142	0.01486	3	1	98
Beam_3_1_15	16034	0.05583	0.093142	0.016135	3	1	98
Beam_3_1_15	16029	0.044759	0.093559	0.015807	3	1	98
Beam_3_1_15	16015	0.044759	0.093559	0.014523	3	1	98
Beam_3_1_15	16009	0.054241	0.093559	0.014523	3	1	98
Beam_3_1_15	16035	0.054241	0.093559	0.015807	3	1	98
Beam_3_1_15	16058	0.041907	0.09381	0.015606	3	1	98
Beam_3_1_15	15982	0.041908	0.09381	0.014317	3	1	98
Beam_3_1_15	16000	0.057097	0.093823	0.014307	3	1	98
Beam_3_1_15	16044	0.057097	0.093823	0.015596	3	1	98
Beam_3_1_15	16014	0.046337	0.093973	0.014183	3	1	98
Beam_3_1_15	16028	0.046337	0.093973	0.015475	3	1	98
Beam_3_1_15	16036	0.052663	0.093973	0.015475	3	1	98
Beam_3_1_15	16010	0.052663	0.093973	0.014183	3	1	98
Beam_3_1_15	16057	0.0438	0.094307	0.015203	3	1	98
Beam_3_1_15	15981	0.043801	0.094307	0.013905	3	1	98
Beam_3_1_15	15999	0.055208	0.094317	0.013897	3	1	98
Beam_3_1_15	16043	0.055208	0.094317	0.015195	3	1	98
Beam_3_1_15	16027	0.047924	0.094389	0.015136	3	1	98
Beam_3_1_15	16013	0.047924	0.094389	0.013836	3	1	98
Beam_3_1_15	16011	0.051076	0.094389	0.013836	3	1	98
Beam_3_1_15	16037	0.051076	0.094389	0.015136	3	1	98
Beam_3_1_15	16032	0.0495	0.094803	0.014794	3	1	98
Beam_3_1_15	16012	0.0495	0.094803	0.013486	3	1	98
Beam_3_1_15	16056	0.045705	0.094807	0.01479	3	1	98
Beam_3_1_15	15980	0.045705	0.094807	0.013482	3	1	98
Beam_3_1_15	15998	0.053307	0.094814	0.013476	3	1	98
Beam_3_1_15	16042	0.053307	0.094814	0.014785	3	1	98
Beam_3_1_15	16059	0.047595	0.095303	0.014373	3	1	98
Beam_3_1_15	15979	0.047595	0.095303	0.013055	3	1	98
Beam_3_1_15	16041	0.051422	0.095308	0.01437	3	1	98
Beam_3_1_15	15997	0.051422	0.095308	0.013051	3	1	98
Beam_3_1_15	15978	0.045686	0.095804	0.012614	3	1	98
Beam_3_1_15	16062	0.045686	0.095804	0.013944	3	1	98
Beam_3_1_15	16050	0.049514	0.095807	0.013942	3	1	98
Beam_3_1_15	15990	0.049514	0.095807	0.012612	3	1	98
Beam_3_1_15	16005	0.053326	0.095807	0.012611	3	1	98
