,Beam,Node,X,Y,Z,track,arch,original,arc,beam_id,beam_id_mirrored,Beam_mirrored,Beam_mirrored_num
193,Beam_1_1_4,17951,0.0023849,0.020672,0.02457,1,1,173,1,4,12,Beam_1_1_12,1112
194,Beam_1_1_4,17899,0.002385,0.020672,0.023467,1,1,173,1,4,12,Beam_1_1_12,1112
195,Beam_1_1_4,17945,0.016622,0.020672,0.02457,1,1,173,1,4,12,Beam_1_1_12,1112
196,Beam_1_1_4,17902,0.016622,0.020672,0.023467,1,1,173,1,4,12,Beam_1_1_12,1112
197,Beam_1_1_4,24665,0.0,0.021802,0.024532,1,1,173,1,4,12,Beam_1_1_12,1112
198,Beam_1_1_4,24668,0.00475,0.021802,0.024532,1,1,173,1,4,12,Beam_1_1_12,1112
199,Beam_1_1_4,24667,0.0095,0.021802,0.024532,1,1,173,1,4,12,Beam_1_1_12,1112
200,Beam_1_1_4,24666,0.01425,0.021802,0.024532,1,1,173,1,4,12,Beam_1_1_12,1112
201,Beam_1_1_4,24664,0.019,0.021802,0.024532,1,1,173,1,4,12,Beam_1_1_12,1112
202,Beam_1_1_5,19233,0.0023693,0.022932,0.025565,1,1,227,1,5,11,Beam_1_1_11,1111
203,Beam_1_1_5,19213,0.0023693,0.022932,0.024479,1,1,227,1,5,11,Beam_1_1_11,1111
204,Beam_1_1_5,19216,0.016631,0.022932,0.024479,1,1,227,1,5,11,Beam_1_1_11,1111
205,Beam_1_1_5,19227,0.016631,0.022932,0.025565,1,1,227,1,5,11,Beam_1_1_11,1111
206,Beam_1_1_5,19212,0.0047486,0.023556,0.024742,1,1,227,1,5,11,Beam_1_1_11,1111
207,Beam_1_1_5,19232,0.0047486,0.023556,0.025823,1,1,227,1,5,11,Beam_1_1_11,1111
208,Beam_1_1_5,19228,0.014251,0.023556,0.025823,1,1,227,1,5,11,Beam_1_1_11,1111
209,Beam_1_1_5,19217,0.014251,0.023556,0.024742,1,1,227,1,5,11,Beam_1_1_11,1111
210,Beam_1_1_5,19204,0.0018952,0.023807,0.024845,1,1,227,1,5,11,Beam_1_1_11,1111
211,Beam_1_1_5,19240,0.0018953,0.023807,0.025925,1,1,227,1,5,11,Beam_1_1_11,1111
212,Beam_1_1_5,19184,0.017109,0.023819,0.02485,1,1,227,1,5,11,Beam_1_1_11,1111
213,Beam_1_1_5,19252,0.017109,0.023819,0.02593,1,1,227,1,5,11,Beam_1_1_11,1111
214,Beam_1_1_5,19211,0.0071196,0.024178,0.024996,1,1,227,1,5,11,Beam_1_1_11,1111
215,Beam_1_1_5,19231,0.0071196,0.024178,0.026074,1,1,227,1,5,11,Beam_1_1_11,1111
216,Beam_1_1_5,19229,0.01188,0.024178,0.026074,1,1,227,1,5,11,Beam_1_1_11,1111
217,Beam_1_1_5,19218,0.01188,0.024178,0.024996,1,1,227,1,5,11,Beam_1_1_11,1111
218,Beam_1_1_5,19203,0.0037966,0.024306,0.025048,1,1,227,1,5,11,Beam_1_1_11,1111
219,Beam_1_1_5,19239,0.0037966,0.024306,0.026124,1,1,227,1,5,11,Beam_1_1_11,1111
220,Beam_1_1_5,19185,0.015212,0.024316,0.025052,1,1,227,1,5,11,Beam_1_1_11,1111
221,Beam_1_1_5,19253,0.015212,0.024316,0.026128,1,1,227,1,5,11,Beam_1_1_11,1111
222,Beam_1_1_5,19230,0.0095,0.024803,0.026318,1,1,227,1,5,11,Beam_1_1_11,1111
223,Beam_1_1_5,19210,0.0095,0.024803,0.025245,1,1,227,1,5,11,Beam_1_1_11,1111
224,Beam_1_1_5,19202,0.0056928,0.024804,0.025245,1,1,227,1,5,11,Beam_1_1_11,1111
225,Beam_1_1_5,19238,0.0056929,0.024804,0.026318,1,1,227,1,5,11,Beam_1_1_11,1111
226,Beam_1_1_5,19186,0.01332,0.024811,0.025248,1,1,227,1,5,11,Beam_1_1_11,1111
227,Beam_1_1_5,19254,0.01332,0.024811,0.026321,1,1,227,1,5,11,Beam_1_1_11,1111
228,Beam_1_1_5,19237,0.0075949,0.025303,0.026509,1,1,227,1,5,11,Beam_1_1_11,1111
229,Beam_1_1_5,19201,0.0075949,0.025303,0.025439,1,1,227,1,5,11,Beam_1_1_11,1111
230,Beam_1_1_5,19251,0.011422,0.025308,0.02651,1,1,227,1,5,11,Beam_1_1_11,1111
231,Beam_1_1_5,19187,0.011422,0.025308,0.025441,1,1,227,1,5,11,Beam_1_1_11,1111
232,Beam_1_1_5,19209,0.0056993,0.025801,0.025627,1,1,227,1,5,11,Beam_1_1_11,1111
233,Beam_1_1_5,19236,0.0056993,0.025801,0.026694,1,1,227,1,5,11,Beam_1_1_11,1111
234,Beam_1_1_5,19188,0.013313,0.025804,0.025629,1,1,227,1,5,11,Beam_1_1_11,1111
235,Beam_1_1_5,19248,0.013313,0.025804,0.026695,1,1,227,1,5,11,Beam_1_1_11,1111
