Node Number	X Location (m)	Y Location (m)	Z Location (m)	
325	2.e-002	0.2005	-1.8329e-028	
326	1.5e-002	0.2005	-1.8329e-028	
327	1.e-002	0.2005	-1.8329e-028	
328	5.e-003	0.2005	-1.8329e-028	
329	-1.0842e-017	0.2005	-1.8329e-028	
330	-5.e-003	0.2005	-1.8329e-028	
331	6.5e-002	0.1955	-1.75e-028	
332	6.e-002	0.1955	-1.75e-028	
333	5.5e-002	0.1955	-1.75e-028	
334	5.e-002	0.1955	-1.75e-028	
335	4.5e-002	0.1955	-1.75e-028	
336	4.e-002	0.1955	-1.75e-028	
337	3.5e-002	0.1955	-1.75e-028	
338	3.e-002	0.1955	-1.75e-028	
339	2.5e-002	0.1955	-1.75e-028	
340	2.e-002	0.1955	-1.75e-028	
341	1.5e-002	0.1955	-1.75e-028	
342	1.e-002	0.1955	-1.75e-028	
343	5.e-003	0.1955	-1.75e-028	
344	-5.6379e-018	0.1955	-1.75e-028	
345	-5.e-003	0.1955	-1.75e-028	
346	6.5e-002	0.1905	-1.6672e-028	
347	6.e-002	0.1905	-1.6672e-028	
348	5.5e-002	0.1905	-1.6672e-028	
349	5.e-002	0.1905	-1.6672e-028	
350	4.5e-002	0.1905	-1.6672e-028	
351	4.e-002	0.1905	-1.6672e-028	
352	3.5e-002	0.1905	-1.6672e-028	
353	3.e-002	0.1905	-1.6672e-028	
354	2.5e-002	0.1905	-1.6672e-028	
355	2.e-002	0.1905	-1.6672e-028	
356	1.5e-002	0.1905	-1.6672e-028	
357	1.e-002	0.1905	-1.6672e-028	
358	5.e-003	0.1905	-1.6672e-028	
359	3.4478e-017	0.1905	-1.6672e-028	
360	-5.e-003	0.1905	-1.6672e-028	
361	6.5e-002	0.1855	-1.5844e-028	
362	6.e-002	0.1855	-1.5844e-028	
363	5.5e-002	0.1855	-1.5844e-028	
364	5.e-002	0.1855	-1.5844e-028	
365	4.5e-002	0.1855	-1.5844e-028	
366	4.e-002	0.1855	-1.5844e-028	
367	3.5e-002	0.1855	-1.5844e-028	
368	3.e-002	0.1855	-1.5844e-028	
369	2.5e-002	0.1855	-1.5844e-028	
370	2.e-002	0.1855	-1.5844e-028	
371	1.5e-002	0.1855	-1.5844e-028	
372	1.e-002	0.1855	-1.5844e-028	
373	5.e-003	0.1855	-1.5844e-028	
374	-1.5396e-017	0.1855	-1.5844e-028	
375	-5.e-003	0.1855	-1.5844e-028	
376	6.5e-002	0.1805	-1.5015e-028	
