combo,variable,top_pct,intersection_size,IOU
"(3, 0, 0)",DirectionalDeformation_Z_axis,300,1042,0.49524714828897337
"(3, 0, 0)",DirectionalDeformation_Z_axis,400,1179,0.5017021276595744
"(3, 0, 0)",DirectionalDeformation_Z_axis,500,1311,0.5055919784033938
"(3, 0, 0)",DirectionalDeformation_Z_axis,600,1392,0.49714285714285716
"(3, 0, 0)",EquivalentStress,50,141,0.07961603613777526
"(3, 0, 0)",EquivalentStress,100,273,0.14375987361769352
"(3, 0, 0)",EquivalentStress,200,498,0.22875516766192008
"(3, 0, 0)",EquivalentStress,300,686,0.2797716150081566
"(3, 0, 0)",EquivalentStress,400,817,0.2986111111111111
"(3, 0, 0)",EquivalentStress,500,951,0.31795386158475425
"(3, 0, 0)",EquivalentStress,600,1061,0.32616046726098985
"(3, 0, 0)",ShearStress_XY,50,141,0.08020477815699659
"(3, 0, 0)",ShearStress_XY,100,275,0.14581124072110285
"(3, 0, 0)",ShearStress_XY,200,530,0.2507095553453169
"(3, 0, 0)",ShearStress_XY,300,707,0.2959397237337798
"(3, 0, 0)",ShearStress_XY,400,848,0.3161819537658464
"(3, 0, 0)",ShearStress_XY,500,958,0.32245035341635814
"(3, 0, 0)",ShearStress_XY,600,1035,0.31729000613120784
"(3, 0, 0)",ShearStress_XZ,50,157,0.0891032917139614
"(3, 0, 0)",ShearStress_XZ,100,304,0.16127320954907162
"(3, 0, 0)",ShearStress_XZ,200,547,0.2537105751391466
"(3, 0, 0)",ShearStress_XZ,300,724,0.29418935392117024
"(3, 0, 0)",ShearStress_XZ,400,870,0.3176341730558598
"(3, 0, 0)",ShearStress_XZ,500,963,0.3180317040951123
"(3, 0, 0)",ShearStress_XZ,600,1023,0.3079470198675497
"(3, 0, 0)",ShearStress_YZ,50,98,0.05511811023622047
"(3, 0, 0)",Combo_XZ,50,190,0.1014957264957265
"(3, 0, 0)",Combo_XZ,100,0,0.0
"(3, 0, 0)",Combo_XZ,200,0,0.0
"(3, 0, 0)",Combo_XZ,300,0,0.0
"(3, 0, 0)",Combo_XZ,400,0,0.0
"(3, 0, 0)",Combo_XZ,500,0,0.0
"(3, 0, 0)",Combo_XZ,600,0,0.0
"(0, 0, 0)",TotalDeformation,50,163,0.09400230680507497
"(0, 0, 0)",TotalDeformation,100,384,0.2148852825965305
"(0, 0, 0)",TotalDeformation,200,647,0.31423020883924235
"(0, 0, 0)",TotalDeformation,300,914,0.40246587406428885
"(0, 0, 0)",TotalDeformation,400,1099,0.4380231167795935
"(0, 0, 0)",TotalDeformation,500,1196,0.4414913252122554
"(0, 0, 0)",TotalDeformation,600,1274,0.43810178817056394
"(0, 0, 0)",DirectionalDeformation_X_axis,50,66,0.036544850498338874
"(0, 0, 0)",DirectionalDeformation_X_axis,100,153,0.07665330661322645
"(0, 0, 0)",DirectionalDeformation_X_axis,200,394,0.1704152249134948
"(0, 0, 0)",DirectionalDeformation_X_axis,300,614,0.23670007710100233
